crate,variant,total_heap_usage,total_heap_allocations,total_heap_reallocations,total_heap_deallocations,unsafe_heap_memory,unsafe_heap_objects,unsafe_load,unsafe_store,unsafe_heap_memory_pct,obj_small_pct,obj_medium_pct,obj_large_pct,obj_total_pct,mem_small_pct,mem_medium_pct,mem_large_pct,mem_total_pct,mem_inst_pct
ordered-multimap,with_native,578627,2056,484,2038,27536,104,417,390,4.7589,4.1834,0.0000,0.0000,4.0945,4.1834,0.0000,0.0000,2.7175,0.4630
os_info,with_native,5877184,5127,505,5127,79206,126,197016,196632,1.3477,2.5925,1.1519,0.0000,2.2372,2.5925,1.1027,0.0000,1.5909,1.0227
ouroboros,with_native,5648170,3083,74,3083,65536,16,196608,196608,1.1603,0.0000,1.1730,0.0000,0.5068,0.0000,1.1615,0.0000,0.9545,1.0148
parity-scale-codec,with_native,612071542,3155726,14551,3155602,4567760,36274,5225740,487613,0.7463,1.1256,29.2517,0.0000,1.1442,1.1256,9.9350,0.0000,0.1506,0.0913
parking_lot,with_native,48656637,13537,1460,13370,35317448,1025,105723666,31415207,72.5851,6.8469,1.6913,41.5385,6.8347,6.8469,1.2250,46.8531,38.2584,3.0331
petgraph,with_native,13914544,93019,6373,92145,8384155,16724,3652454,1247152,60.2546,16.6497,30.9778,40.0000,16.8263,16.6497,38.5636,80.0000,23.5815,1.5589
pin-project-lite,with_native,22412966,254920,11974,254875,8831783,73474,467747,288201,39.4048,27.3987,59.2896,0.0000,27.5293,27.3987,47.0410,0.0000,27.3485,0.4702
polling,with_native,1889494,14088,657,14081,10548,48,299,70,0.5582,0.3250,0.3546,0.0000,0.3255,0.3250,0.1062,0.0000,0.2892,0.0784
portable-atomic,with_native,533553692,3473010,3766,3472992,350739785,2258636,83413076,30116515,65.7365,64.9762,21.0856,30.6667,64.9635,64.9762,26.9394,45.6175,61.1260,0.5789
postcard,with_native,390816,3357,226,3357,223,26,117,0,0.0571,0.7399,0.0000,0.0000,0.7256,0.7399,0.0000,0.0000,0.6279,0.0459
pulldown-cmark,with_native,26318691,41805,9697,41805,922969,7969,20851,26697,3.5069,16.2343,3.0405,0.0000,15.4732,16.2343,2.0881,0.0000,8.5477,0.8209
rand,with_native,2787464,49849,788,49831,1170436,37363,70171,175916,41.9893,74.0833,2.3810,0.0000,73.7860,74.0833,1.4365,0.0000,70.3718,1.1048
rayon-core,with_native,57490422,112844,6894,95723,26384984,29337,71127046,24524627,45.8946,16.9955,66.7219,0.0000,24.5068,16.9955,39.3976,0.0000,28.1867,6.4145
rgb,with_native,1563859,13279,826,13279,196,10,2,28,0.0125,0.0722,0.0000,0.0000,0.0709,0.0722,0.0000,0.0000,0.0621,0.1658
ring,with_native,103238185,1189167,10507,1189149,10001596,64419,306817,1111073075,9.6879,5.3057,27.0827,1.4493,5.3697,5.3057,10.4254,2.2599,5.4555,54.9584
